,Singer,Guitarist,Bassist,Drummer,Pianist
ZZ Top,['BillyGibbons'],['DustyHill(1949-2021)'],['FrankBeard'],,
Arctic Monkeys,['AlexTurner'],['JamieCook'],"[""NickO'Malley""]",['MattHelders'],
Oasis,['LiamGallagher'],"['NoelGallagher', 'PaulArthurs']",['PaulMcGuigan'],['TonyMcCarroll'],
My Chemical Romance,"['GerardWay', 'JamesDewees']","['FrankIero', 'RayToro']",['MikeyWay'],"['BobBryar', 'MattPelissier']",
Deep Purple,['JonLord(1941-2012)'],"['IanGillan', 'DavidCoverdale', 'GlennHughes', 'JoeLynnTurner']","['RitchieBlackmore', 'SteveMorse', 'TommyBolin(1951-1976)']",['RogerGlover'],['IanPaice']
Linkin Park,['JoeHahn'],['ChesterBennington(1976-2017)'],"['MikeShinoda', 'BradDelson']",['DavidFarrell'],['RobBourdon']
The Strokes,['JulianCasablancas'],"['AlbertHammondJr.', 'NickValensi']",['NikolaiFraiture'],['FabrizioMoretti'],
Whitesnake,['DavidCoverdale'],['RebBeach'],['TommyAldridge'],,
Heart,"['AnnWilson', 'NancyWilson']",['RogerFisher'],,,
The Smiths,['Morrissey'],['JohnnyMarr'],['AndyRourke'],['MikeJoyce'],
Bring Me The Horizon,['OliverSykes'],['LeeMalia'],['MattKean'],['MattNicholls'],['JordanFish']
Fleetwood Mac,"['StevieNicks', 'ChristineMcVie', 'JohnMcVie']","['LindseyBuckingham', 'PeterGreen(1946-2020)']",['LedZeppelin'],"['MickFleetwood', 'JeremySpencer']",
Dio,['RonnieJamesDio(1942-2010)'],['CraigGoldy'],['JimmyBain(1947-2016)'],"['SimonWright', 'VinnyAppice']",
Pink Floyd,"['RogerWaters', 'SydBarrett(1946-2006)']",['DavidGilmour'],['NickMason'],['RichardWright(1943-2008)'],
The White Stripes,['JackWhite'],['MegWhite'],,,
All Time Low,['AlexGaskarth'],['JackBarakat'],['ZackMerrick'],['RianDawson'],
Joy Division,['IanCurtis(1956-1980)'],['BernardSumner'],['PeterHook'],['StephenMorris'],
Gazette,['Ruki'],"['Aoi', 'Uruha']",['Reita'],['UkeYutaka'],
Five Finger Death Punch,['IvanL.Moody'],"['ZoltanBathory', 'JasonHook', 'AndyJames']",['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",
Whitechapel,['PhilBozeman'],"['AlexWade', 'ZachHouseholder', 'BenjaminSavage']",['GabeCrisp'],['BenHarclerode'],
Avatar,['JohannesEckerstrom'],['JonasJarlsby'],['HenrikSandelin'],,
Arch Enemy,['AlissaWhite-Gluz'],"['JeffLoomis', 'MichaelAmott']",['DanielErlandsson'],,
Coheed And Cambria,"['ClaudioSanchez', 'TravisStever']",['MicTodd'],"['JoshEppard', 'ChrisPennie']",,
Nickelback,['ChadKroeger'],['RyanPeake'],['MikeKroeger'],['DanielAdair'],
Queens Of The Stone Age,"['JoshHomme', 'MarkLanegan(1964-2022)', 'DeanFertita']",['TroyVanLeeuwen'],"['JoeyCastillo', 'JonTheodore']",,
A.N.I.M.A.L,['EricBurdon'],['HiltonValentine(1943-2021)'],"['ChasChandler(1938-1996)', 'DannyMcCulloch']",['JohnSteel'],['AlanPrice']
Shinedown,['BrentSmith'],['ZachMyers'],['EricBass'],['BarryKerch'],
Architects,"['MattJohnson', 'SamCarter']","['TomSearle(1987-2016)', 'AdamChristianson']",['DanSearle'],,
Insomnium,['NiiloSevanen'],['JaniLiimatainen'],,,
