Band,Song,Player,Technique,Difficulty,Score
Max Lundell,Grej På G,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Untitled Revolution,Intro 2,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Untitled Revolution,Predestined Disaster,Rob,['Distortion Guitar'],Intermediate,4/8
Untitled Revolution,Consumed,nan,['Distortion Guitar'],Intermediate,3/8
Gazette,Ruthless Deed,nan,"['Distortion Guitar', 'Electric Guitar III <葵>']",Intermediate,3/8
Gazette,Devil On My Bed,nan,"['Distortion Guitar', 'Electric Guitar <葵>']",Intermediate,3/8
Impending Doom,Anything Goes,Center,['Overdriven Guitar'],Intermediate,3/8
Untitled Revolution,Plague,Luigi,['Distortion Guitar'],Intermediate,3/8
Untitled Revolution,Eclipse Of Disease,Luigi,['Distortion Guitar'],Intermediate,3/8
Maria,Color,nan,"['Distortion Guitar', 'Most suitable guitar: A drop']",Intermediate,3/8
Untitled Revolution,Who Decides?,Rob,['Distortion Guitar'],Intermediate,3/8
Cephalic Carnage,Scientific Remote Viewing,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Poopy,Asshat,Track 5,['Distortion Guitar'],Intermediate,5/8
Untitled Revolution,Dead In Life,nan,"['Distortion Guitar', 'Guitare 2']",Intermediate,5/8
Untitled Revolution,Eternal Dreams,Track 2,['Distortion Guitar'],Intermediate,4/8
Shinzm,World Without Rainbows,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,4/8
Untitled Revolution,Dead,Track 2,['Distortion Guitar'],Intermediate,5/8
Untitled Revolution,Strangelet,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,5/8
Nxt,Nxt,nan,"['Overdriven Guitar', 'Electric Guitar']",Intermediate,3/8
Untitled Revolution,Gallery Of Fear,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
American Me,Black Malicious Lie,Track 2,['Distortion Guitar'],Intermediate,3/8
In Hearts Wake,Traveller,nan,"['Distortion Guitar', 'Guitar 2 (Ben Nairne)']",Intermediate,3/8
Untitled Revolution,Blinded Unrest,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Indepth,Who Decides?,Rob,['Distortion Guitar'],Intermediate,3/8
Untitled Revolution,Untitled,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Unfinished Draft,Sulfers,nan,['Electric Guitar (clean) 2'],Advanced,8/8
In Hearts Wake,Neverland,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
In Hearts Wake,Departure,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
The Ailment,The Flood,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Velkrodeth,Paradigmas,Chutas,['Overdriven Guitar'],Advanced,6/8
Indepth,Blinded Unrest,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
The Wraith,Song 1,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,5/8
Indepth,Paradoxical Immunity,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Motionless In White,Black Damask,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Niggas In Prehispanic,Never Existed,Track 3,['Overdriven Guitar'],Intermediate,3/8
Indepth,"Plague Pt. 2 ""Strangelet""",nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,5/8
Gazette,Attitude,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Gazette,Derangement,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Vandalize,Stranger,nan,"['Distortion Guitar', 'Electric Guitar I <麗 & 葵>']",Intermediate,3/8
Soilwork,Loyal Shadow,nan,['Distortion Guitar'],Intermediate,3/8
Indepth,Chaotic Form,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Nxt,Eye In The Sky,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Nile,The Inevitable Degradation Of Flesh,Karl Sanders (Solo),['Overdriven Guitar'],Advanced,8/8
Untitled Revolution,Light Of Grove,nan,"['Distortion Guitar 3', 'Electric Guitar']",Intermediate,3/8
Nxt,Nu,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Indepth,Sorrow To Us,nan,['Distortion Guitar 1'],Intermediate,3/8
Tesseract,Origin,Track 6,['Acoustic Guitar (steel)'],Intermediate,3/8
Scott Phoebus,Original 1,nan,"['Distortion Guitar', 'Electric Guitar2']",Intermediate,3/8
Indepth,Rotten Faith,nan,['Distortion Guitar 2'],Intermediate,4/8
Twelve Foot Ninja,Coming For You,nan,['Distortion Guitar'],Beginner,2/8
Gazette,Psychopath,nan,"['Distortion Guitar', 'Electric Guitar III <葵>']",Intermediate,4/8
Gift Giver,Chatterbox,Lead,['Overdriven Guitar'],Intermediate,3/8
Sworn In,Let Down,FX,['Acoustic Guitar (steel)'],Beginner,1/8
Never See Tomorrow,For Your Eyes Only,Track 5,['Overdriven Guitar'],Intermediate,3/8
Barrier,Backbone,nan,['Distortion Guitar 3'],Beginner,1/8
Scott Phoebus,Metal Song!!! Original,nan,"['Distortion Guitar', 'Electric Guitar2']",Intermediate,4/8
Five Finger Death Punch,Dot Your Eyes,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Indepth,Desolate,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Joshua Price,Through The Black Stream,nan,"['Overdriven Guitar', 'Ryth Guitar']",Intermediate,3/8
Joshua Price,Shadow In The Mist,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Indepth,Hope,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Indepth,Indepth: The Endless Pursuit,nan,"['Acoustic Guitar (steel) 1', 'Steel Guitar']",Intermediate,3/8
Emmure,Drug Dealer Friend,Mike Mulholland,['Distortion Guitar'],Beginner,2/8
Indepth,War In The Drought,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Castaway,Am I Br00tal Yet?,nan,"['Overdriven Guitar', 'Chris Guitar']",Intermediate,3/8
Untitled Revolution,Inheritor Of Death,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Habiru,Astonishing Beaulty Of The Lunar Goddess,nan,['Distortion Guitar'],Intermediate,5/8
Kypck,Alleya Stalina,Track 2,['Distortion Guitar'],Beginner,1/8
Breakdown Of Sanity,Prologue,nan,"['Distortion Guitar', 'Center Guitar']",Intermediate,3/8
Breakdown Of Sanity,December,L2,['Distortion Guitar'],Intermediate,3/8
Breakdown Of Sanity,Story Of A Stranger,Spoor 1,['Distortion Guitar'],Intermediate,3/8
Breakdown Of Sanity,The Storm,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Breakdown Of Sanity,Chapters,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Indepth,Overnight Fall,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Within The Ruins,Feeding Frenzy,nan,['Distortion Guitar'],Intermediate,5/8
The Devil Wears Prada,Gloom,Riffs,['Distortion Guitar'],Intermediate,3/8
Nile,Chapter For Transforming Into A Snake,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Neophy,Voiceless,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Nnn,Mmm,Pista 3,['Distortion Guitar'],Intermediate,5/8
Nnn,Nnn,Pista 1,['Distortion Guitar'],Intermediate,4/8
Nnn,Bbb,Pista 1,['Distortion Guitar'],Intermediate,4/8
Indepth,Ten Thousand Times,Rob,['Distortion Guitar'],Intermediate,3/8
Amon Amarth,Shape Shifter,nan,"['Distortion Guitar', 'Guitar I']",Intermediate,4/8
Amon Amarth,Under Siege,nan,"['Distortion Guitar', 'Additional Electric Guitar']",Intermediate,3/8
Red,Die For You,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Indepth,Contradiction,Luigi,['Distortion Guitar'],Intermediate,4/8
Cephalic Carnage,Dying Will Be The Death Of Me,steve,['Overdriven Guitar'],Intermediate,5/8
JHGuitar Freak,Doomed,Overdubs,['Distortion Guitar 1'],Intermediate,3/8
Singltus,Tightrope Runner,nan,"['Distortion Guitar', 'Extra Guitar']",Intermediate,3/8
Singltus,Kazaksthan,Glen,['Distortion Guitar'],Intermediate,3/8
Nickelback,Do This Anymore,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Sunchez,Dawn,Johann,['Distortion Guitar'],Intermediate,4/8
Staind,Take It,nan,['Distortion Guitar'],Intermediate,3/8
Buckethead,We Are One,nan,"['Distortion Guitar', '2nd guitar']",Intermediate,4/8
Chevelle,Straight Jacket Fashion,nan,['Distortion Guitar'],Intermediate,3/8
