Band,Song,Player,Technique,Difficulty,Score,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,AVAILABLE_MARKETS,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist
Isaac Albéniz,Asturias,['Ýz 1'],['Acoustic Guitar (nylon)'],Intermediate,5/8,2u6GTNZF07O4mmFg8CZozY,36,1981,https://open.spotify.com/album/5lY62FNmxjms4v3OMTGFWl,https://p.scdn.co/mp3-preview/5e9af1c3d16503e3c7979cf6f0d44dd3575c64e3?cid=f9d64942f5f74f3282916225d2f77630,nan,0.32,0.171,-20.784,0.0594,0.967,0.884,0.104,0.217,112.092,372733,,,,
AC/DC,Back In Black,['Angus Young'],['Distortion Guitar'],Intermediate,3/8,08mG3Y1vljYA6bvDt4Wqkj,84,1980,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://p.scdn.co/mp3-preview/41f8586f16bc642b45122e52041143789a8e00c0?cid=f9d64942f5f74f3282916225d2f77630,nan,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,"['BrianJohnson', 'BonScott(1946-1980)']",['CliffWilliams'],"['PhilRudd', 'ChrisSlade', 'SimonWright']",[]
Pachelbel,Canon in D Major,,['Acoustic Guitar (nylon)'],Intermediate,4/8,1Mse9NKBbEASi50CQ4aYhr,56,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,nan,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,
Led Zeppelin,"Babe, I'm Gonna Leave You",['Jimmy Page'],['Acoustic Guitar (steel)'],Beginner,2/8,4OMu5a8sFpcRCPCcsoEaov,61,1969,https://open.spotify.com/album/3ycjBixZf7S3WpC5WZhhUK,https://p.scdn.co/mp3-preview/e68e42946f936dc79065e8fe0a18636280476794?cid=f9d64942f5f74f3282916225d2f77630,nan,0.404,0.435,-12.045,0.0323,0.246,0.00074,0.156,0.156,136.058,401067,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[]
Jimi Hendrix,Little Wing,['Jimi Hendrix'],['Electric Guitar (jazz) 1'],Intermediate,5/8,1Eolhana7nKHYpcYpdVcT5,70,1967,https://open.spotify.com/album/3uFZf8rykoHo7XMIQVYW6r,https://p.scdn.co/mp3-preview/91c9fa6268ba55f5cb58201131ce06888eec4f51?cid=f9d64942f5f74f3282916225d2f77630,nan,0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,,,,
Pink Floyd,Shine On You Crazy Diamond,['David Gilmour'],['Overdriven Guitar'],Beginner,2/8,6pnwfWyaWjQiHCKTiZLItr,66,1975,https://open.spotify.com/album/0bCAjiUamIFqKJsekOYuRw,https://p.scdn.co/mp3-preview/fdc4738cec1421f40ed85d12010b620230b347f4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.264,0.294,-11.941,0.028,0.772,0.686,0.107,0.0402,137.937,811077,"['RogerWaters', 'SydBarrett(1946-2006)']",['NickMason'],['RichardWright(1943-2008)'],[]
Kansas,Dust In The Wind,"['SteveMorse', 'KerryLivgren']","['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8,6zeE5tKyr8Nu882DQhhSQI,77,1977,https://open.spotify.com/album/6oU298pdPTCQnMx1PYwyUA,https://p.scdn.co/mp3-preview/49d04d4985d8a74c979808d5fc64500611e96ae4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,['SteveWalsh'],"['BillyGreer', 'DaveHope']",['PhilEhart'],[]
Francisco Tarrega,Capricho Arabe,,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8,19LnUKbcwoy6pHm0PshRwT,43,2011,https://open.spotify.com/album/7I5Yne18UUq4T533rLOQIR,https://p.scdn.co/mp3-preview/6d63db2083ae234bd25e53afddfddee1eb3a62c4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.384,0.0312,-27.672,0.0593,0.992,0.926,0.0805,0.179,101.876,368893,,,,
Pachelbel,Canon In C,,['Acoustic Guitar (nylon)'],Beginner,1/8,1Mse9NKBbEASi50CQ4aYhr,56,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,nan,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,
Van Halen,Panama,['Edward Van Halen'],['Distortion Guitar'],Intermediate,4/8,05RgAMGypEvqhNs5hPCbMS,73,1984,https://open.spotify.com/album/3REUXdj5OPKhuDTrTtCBU0,https://p.scdn.co/mp3-preview/1c64b276e2c9eba46fb0b6c36898b46692e336b9?cid=f9d64942f5f74f3282916225d2f77630,nan,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[]
Metallica,Nothing Else Matters,['KirkHammett'],"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8,2CtemffYhT0DJWcT1XW047,71,1991,https://open.spotify.com/album/55fq75UfkYbGMq4CncCtOH,https://p.scdn.co/mp3-preview/27f75df2e12c0811c4e0d544e994c8dd58a4af81?cid=f9d64942f5f74f3282916225d2f77630,nan,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[]
Dire Straits,Sultans Of Swing,['Mark Knopfler'],"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8,6cr6UDpkjEaMQ80OjWqEBQ,67,1978,https://open.spotify.com/album/4dKdxly4ji1vfl7sEYuqBe,https://p.scdn.co/mp3-preview/adaf79aa57a8ce9b906f6f5ff3a99382301022a5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,['ChrisWhite'],['JohnIllsley'],['PickWithers'],['GuyFletcher']
Metallica,Orion,['KirkHammett'],"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8,4xyWJM4kscTROV2RESdwpd,55,1986,https://open.spotify.com/album/7CGhx630DIjdJqaBDVKc5j,https://p.scdn.co/mp3-preview/235cc7cee32efb98d4257bdf89b9834c71759705?cid=f9d64942f5f74f3282916225d2f77630,nan,0.367,0.672,-10.014,0.0378,0.0013,0.899,0.111,0.382,128.497,507227,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[]
Red Hot Chili Peppers,Scar Tissue,['John Frusciante'],['Electric Guitar (clean)'],Intermediate,3/8,1G391cbiT3v3Cywg8T7DM1,79,1999,https://open.spotify.com/album/2Y9IRtehByVkegoD7TcLfi,https://p.scdn.co/mp3-preview/505082fa90f314d9198348d5496251ed17d333c5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[]
Linkin Park,Numb,['ChesterBennington(1976-2017)'],"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8,2nLtzopw4rPReszdYBJU6h,82,2003,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3,https://p.scdn.co/mp3-preview/48dac3dd8990fbd832a4d138f9e871b85b77dd51?cid=f9d64942f5f74f3282916225d2f77630,nan,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,['JoeHahn'],"['MikeShinoda', 'BradDelson']",['DavidFarrell'],['RobBourdon']
Ozzy Osbourne,Crazy Train,,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8,7ACxUo21jtTHzy7ZEV56vU,78,2020,https://open.spotify.com/album/4qUMByJ3Pk94BFnCmGaUPS,https://p.scdn.co/mp3-preview/c3b4fea2b6c7c40bd86ff3da791db247bd81aed5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,,,,
Van Halen,Eruption,"['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']","['Distortion Guitar', 'Guitar Effects']",Advanced,7/8,2tAeN2TKlQLOoSPXtARzBV,64,1978,https://open.spotify.com/album/7DdEbYFPKTZ8KB4z6L4UnQ,https://p.scdn.co/mp3-preview/ba9fea324dd12b3ad7a7aa668726428082f20824?cid=f9d64942f5f74f3282916225d2f77630,nan,0.225,0.689,-9.12,0.0555,0.469,0.813,0.337,0.5,93.798,102080,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[]
Led Zeppelin,Stairway To Heaven,['Jimmy Page'],['Overdriven Guitar'],Intermediate,5/8,5CQ30WqJwcep0pYcV4AMNc,79,1971,https://open.spotify.com/album/44Ig8dzqOkvkGDzaUof9lK,https://p.scdn.co/mp3-preview/fc80a280376d5142c888475bd8fdcd00b4fc8d7d?cid=f9d64942f5f74f3282916225d2f77630,nan,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[]
Black Sabbath,Iron Man,['Tony Iommi'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,3IOQZRcEkplCXg6LofKqE9,67,1970,https://open.spotify.com/album/6r7LZXAVueS5DqdrvXJJK7,https://p.scdn.co/mp3-preview/f7e8d9754673e3cbe84711eed3a710a4fccfc520?cid=f9d64942f5f74f3282916225d2f77630,nan,0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['GeezerButler'],['BillWard'],[]
Dick Dale,Misirlou,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8,3OnCnEWgy79xR5pr2kv4TX,56,1960,https://open.spotify.com/album/7bGmjO5Cthm1SNOwUhLwKE,https://p.scdn.co/mp3-preview/be83afacc07eb9b9b2b6fa7a578d826b9deedd7c?cid=f9d64942f5f74f3282916225d2f77630,nan,0.293,0.932,-6.839,0.051,0.0136,0.906,0.289,0.657,173.262,135973,,,,
Ed Sheeran,I See Fire,,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8,1fu5IQSRgPxJL2OTP7FVLW,60,2013,https://open.spotify.com/album/6KX0qrnnPlmBrI2BEXJV9Q,https://p.scdn.co/mp3-preview/d28cc8233cbb2646749d3ebc536e5ed205c1a296?cid=f9d64942f5f74f3282916225d2f77630,nan,0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,300747,,,,
Ludwig Van Beethoven,Moonlight Sonata,,['Acoustic Guitar (nylon)'],Intermediate,4/8,3DNRdudZ2SstnDCVKFdXxG,68,2007,https://open.spotify.com/album/4bNwPPpk01D8pVV9IFSBde,https://p.scdn.co/mp3-preview/fc5bd44716d9ab764f27af8457497a18fe21e172?cid=f9d64942f5f74f3282916225d2f77630,nan,0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,315427,,,,
AC/DC,You Shook Me All Night Long,['Angus Young'],['Distortion Guitar'],Intermediate,3/8,2SiXAy7TuUkycRVbbWDEpo,80,1980,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://p.scdn.co/mp3-preview/ca7869f25dd152e58aa5a37addf6d44f7da1fe21?cid=f9d64942f5f74f3282916225d2f77630,nan,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,"['BrianJohnson', 'BonScott(1946-1980)']",['CliffWilliams'],"['PhilRudd', 'ChrisSlade', 'SimonWright']",[]
Mason Williams,Classical Gas,['Mason Williams'],['Acoustic Guitar (steel)'],Intermediate,3/8,4DK3JpX2NkEMhCnltUEvUg,52,1968,https://open.spotify.com/album/3DPAlVqMz7KEenC77SKHN6,https://p.scdn.co/mp3-preview/a775335031f00eb44fa65d2d5c08b0e3a1cf0de5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.489,0.701,-10.53,0.0348,0.852,0.78,0.108,0.739,155.269,184800,,,,
Muse,Psycho,['ChristopherWolstenholme'],"['Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8,383QXk8nb2YrARMUwDdjQS,68,2015,https://open.spotify.com/album/2wart5Qjnvx1fd7LPdQxgJ,https://p.scdn.co/mp3-preview/702bbcd90023a5014a09583d9597047a109fdd9f?cid=f9d64942f5f74f3282916225d2f77630,nan,0.555,0.883,-3.426,0.0341,0.00114,0.041,0.868,0.507,125.02,316718,['MatthewBellamy'],['DominicHoward'],[],[]
Slipknot,Psychosocial,['Mick T.'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,3RAFcUBrCNaboRXoP3S5t1,75,2008,https://open.spotify.com/album/2ISXjEm0D4chvU2IDNvUqk,https://p.scdn.co/mp3-preview/e69754410aab300ef0fc09353332a0947a5a3419?cid=f9d64942f5f74f3282916225d2f77630,nan,0.568,0.981,-3.889,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']"
Blind Guardian,The Bards Song,['Acoustic 1'],['Acoustic Guitar (steel)'],Beginner,2/8,7xPGvZaG9W7UOrCgEwbONe,58,1992,https://open.spotify.com/album/4oruHZSLyTDKPNY2VQIlCS,https://p.scdn.co/mp3-preview/4345798c2d6de4c4afe6924c3bbdb4ede5a7e400?cid=f9d64942f5f74f3282916225d2f77630,nan,0.396,0.415,-7.56,0.0283,0.846,4.38e-05,0.141,0.38,81.778,189893,,,,
Red Hot Chili Peppers,Can't Stop,['John Frusciante'],['Overdriven Guitar'],Intermediate,3/8,3ZOEytgrvLwQaqXreDs2Jx,81,2002,https://open.spotify.com/album/6deiaArbeoqp1xPEGdEKp1,https://p.scdn.co/mp3-preview/83a6425e6cf360bff80cb93fa3fbc8799cac3894?cid=f9d64942f5f74f3282916225d2f77630,nan,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[]
Sungha Jung,Howls Moving Castle,,['Acoustic Guitar (steel)'],Beginner,2/8,67rmNN2HptVzMOgF65jvli,22,2013,https://open.spotify.com/album/0mXWFGckLEu9oYjRoDT8q6,https://p.scdn.co/mp3-preview/321a5c40f8503abc83a1a7243666d244c6087215?cid=f9d64942f5f74f3282916225d2f77630,nan,0.326,0.366,-9.326,0.0617,0.87,0.831,0.101,0.269,83.323,303440,,,,
Estas Tonne,The Song Of The Golden Dragon,['Estas Tonné'],['Acoustic Guitar (nylon)'],Intermediate,5/8,48RME2XQqVXIaH54NA4pRe,48,2012,https://open.spotify.com/album/6Mxvn5iwdMJnVbdfGWcExZ,https://p.scdn.co/mp3-preview/8207d02640f793b3c8f057e74f47734194f40009?cid=f9d64942f5f74f3282916225d2f77630,nan,0.233,0.825,-10.095,0.0415,0.68,0.946,0.565,0.552,89.01,549809,,,,
AC/DC,Hells Bells,['Angus Young'],['Distortion Guitar'],Intermediate,4/8,69QHm3pustz01CJRwdo20z,74,1980,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://p.scdn.co/mp3-preview/09288fbe4af0cb6285e668b720d4d511c7903404?cid=f9d64942f5f74f3282916225d2f77630,nan,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,"['BrianJohnson', 'BonScott(1946-1980)']",['CliffWilliams'],"['PhilRudd', 'ChrisSlade', 'SimonWright']",[]
Mayhem,Freezing Moon,['Euronymous'],['Distortion Guitar'],Intermediate,3/8,4AP3a7eEOlz5sTJiWnv2C6,55,1994,https://open.spotify.com/album/7mHVfSXtdzvPk7TkdhoekE,https://p.scdn.co/mp3-preview/e191464008685582d91fb4a3a33d064021beb96b?cid=f9d64942f5f74f3282916225d2f77630,nan,0.168,0.974,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,383053,"['PerOhlin(1969-1991)', 'AttilaCsihar']",['Necrobutcher'],[],[]
Foo Fighters,Everlong,"['PatSmear', 'ChrisShiflett', 'NateMendel', 'FranzStahl']","['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Intermediate,3/8,5UWwZ5lm5PKu6eKsHAGxOk,82,1997,https://open.spotify.com/album/30ly6F6Xl0TKmyBCU50Khv,https://p.scdn.co/mp3-preview/29b3d410b28a70b73f55fae2197d664703682fd6?cid=f9d64942f5f74f3282916225d2f77630,nan,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,['DaveGrohl'],"['TaylorHawkins(1972-2022)', 'WilliamGoldsmith']",[],[]
Avenged Sevenfold,Buried Alive,"['SynysterGates', 'ZackyVengeance']","['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",Intermediate,4/8,4veeNpXDK1YRHMTJ1Cppsg,64,2010,https://open.spotify.com/album/7vfuTRXIAYJz5Uc8SddnTr,https://p.scdn.co/mp3-preview/a75facca3f23e9947f18431e8231fba1619baf57?cid=f9d64942f5f74f3282916225d2f77630,nan,0.607,0.804,-5.209,0.0296,0.00116,0.0,0.159,0.469,139.983,404387,['MattShadows'],['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",[]
Metallica,Ride The Lightning,['Kirk Hammett'],['Distortion Guitar'],Intermediate,3/8,36DLF96pjKydN0MZtsahQz,61,1984,https://open.spotify.com/album/2omIeSJEGQeKHPOpiXgfkr,https://p.scdn.co/mp3-preview/6ddc05bb5f822dad487731c5aefd8d6128f113ff?cid=f9d64942f5f74f3282916225d2f77630,nan,0.265,0.973,-6.129,0.173,5.15e-05,0.0942,0.205,0.27,148.506,396987,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[]
Johann Sebastian Bach,Bouree,,['Acoustic Guitar (steel)'],Intermediate,4/8,1oO6R0kHribxH6YKzSYxJf,13,2022,https://open.spotify.com/album/4csQJiqJbiRBBWRCKGwwVY,https://p.scdn.co/mp3-preview/0d7cf4dc015215f00213e71adbe1451389ae6f18?cid=f9d64942f5f74f3282916225d2f77630,nan,0.386,0.385,-17.061,0.0466,0.99,0.87,0.13,0.975,107.845,46360,,,,
As I Lay Dying,Through Struggle,"[""Samuel Nicholas Keali'iokalani Hipa""]",['Distortion Guitar'],Intermediate,3/8,0fmwyv8VP8Jh71e87oCHv1,53,2005,https://open.spotify.com/album/3D8V1PlxgpX05jyHLv6e4P,https://p.scdn.co/mp3-preview/0f72d1ea4d1cba4d811b2c7b408dbf5b3c1ed2b4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.195,0.976,-4.381,0.0808,6.86e-05,0.000912,0.263,0.531,180.372,238173,,,,
Judas Priest,Breaking The Law,['Glenn Tipton'],['Distortion Guitar'],Intermediate,3/8,2RaA6kIcvomt77qlIgGhCT,71,1980,https://open.spotify.com/album/5bqtZRbUZUxUps8mrO9tGY,https://p.scdn.co/mp3-preview/cb5f2bf729cf7b2e1517d81258ec74c76c4aadb9?cid=f9d64942f5f74f3282916225d2f77630,nan,0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,['RobHalford'],['IanHill'],"['ScottTravis', 'SimonPhillips', 'DaveHolland(1946-2018)', 'LesBinks']",[]
Gojira,Silvera,,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",Intermediate,4/8,5uunXHE4kIW6uS4HWAXaOQ,61,2016,https://open.spotify.com/album/7D7V6M05UIOTjLdqbwRX0w,https://p.scdn.co/mp3-preview/955f74902c27eed8c8b6344961467af6108f55ee?cid=f9d64942f5f74f3282916225d2f77630,nan,0.333,0.959,-4.348,0.072,3.19e-06,0.0563,0.299,0.242,137.052,212653,,,,
Bullet For My Valentine,Waking The Demon,['Matt Tuck'],['Distortion Guitar'],Intermediate,4/8,1ZEoYuekZQo62DLFtPVdqT,53,2008,https://open.spotify.com/album/04VE36yBM6GyJpDtD61e0p,https://p.scdn.co/mp3-preview/b640d62459ab510efcef83e6b7b016235cb6547d?cid=f9d64942f5f74f3282916225d2f77630,nan,0.306,0.995,-3.203,0.1,2.98e-05,0.00859,0.254,0.135,127.908,247693,['MatthewTuck'],['JasonJames'],['MichaelThomas'],[]
Blue Oyster Cult,Don't Fear The Reaper,"['EricBloom', 'BuckDharma']","['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8,5QTxFnGygVM4jFQiBovmRo,75,1976,https://open.spotify.com/album/6C9WzlQANeoD0GW5B41YJt,https://p.scdn.co/mp3-preview/7506c69eeadd2ba6fcda4df93765cab7e42d6c4f?cid=f9d64942f5f74f3282916225d2f77630,nan,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,"['AllenLanier(1946-2013)', 'KasimSulton']","['RudySarzo', 'JoeBouchard']","['NealSmith', 'ThommyPrice', 'AlbertBouchard', 'ChuckBurgi']",[]
Led Zeppelin,Whole Lotta Love,['JimmyPage'],"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",Intermediate,3/8,0hCB0YR03f6AmQaHbwWDe8,77,1969,https://open.spotify.com/album/70lQYZtypdCALtFVlQAcvx,https://p.scdn.co/mp3-preview/f3765a6c5b194302c6e7fffc31ba21e2bd616cf6?cid=f9d64942f5f74f3282916225d2f77630,nan,0.412,0.902,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,333893,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[]
Jimi Hendrix,Purple Haze,['Jimi Hendrix'],['Distortion Guitar'],Intermediate,3/8,0wJoRiX5K5BxlqZTolB2LD,71,1967,https://open.spotify.com/album/7rSZXXHHvIhF4yUFdaOCy9,https://p.scdn.co/mp3-preview/a78aa87ff3f32a943151e2cc4596227be9bfce80?cid=f9d64942f5f74f3282916225d2f77630,nan,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,,,,
Joe Satriani,"Always With Me, Always With You",['Melody'],['Distortion Guitar'],Intermediate,5/8,0NNep3grWO95CVGp04gMM4,52,1987,https://open.spotify.com/album/4SFG7APMZeeM97ixKPoQuk,https://p.scdn.co/mp3-preview/f98744600936664de0bec7e54e4ee9a0be1dfc69?cid=f9d64942f5f74f3282916225d2f77630,nan,0.575,0.295,-12.584,0.0326,0.484,0.703,0.0639,0.394,144.366,202533,,,,
Yann Tiersen,La Valse D'amélie,['Solo'],['Acoustic Guitar (nylon)'],Intermediate,4/8,6bpmBNPfQ2KFAW0ik6F9Vq,62,2001,https://open.spotify.com/album/6PRPYATK5VvjZ2p911y6U0,https://p.scdn.co/mp3-preview/273992bc4da8b34a3bd931de90f72a918c8f7fdd?cid=f9d64942f5f74f3282916225d2f77630,nan,0.194,0.179,-16.834,0.0422,0.988,0.866,0.0819,0.179,177.694,158667,,,,
Pantera,I'm Broken,['Dimebag Darrell'],['Distortion Guitar'],Intermediate,4/8,2M5WTwqnkyz7bW6P1CiD6q,65,1994,https://open.spotify.com/album/70GAqt2avSiKBJ2IEymou1,https://p.scdn.co/mp3-preview/9087ffa4f9a4b4a91bee14733b3c0098629a2796?cid=f9d64942f5f74f3282916225d2f77630,nan,0.419,0.878,-6.352,0.0553,0.000594,0.559,0.139,0.666,147.385,264800,"['PhilAnselmo', 'TerryLeeGlaze']",['RexBrown'],['VinniePaul(1964-2018)'],[]
Killswitch Engage,My Curse,['Adam D.'],['Distortion Guitar'],Intermediate,4/8,6zKF4293k44ItKWJJgrhXv,67,2006,https://open.spotify.com/album/6iJEtgHTEbVlSS5isIS71z,https://p.scdn.co/mp3-preview/7decd366692b8cee986717fca446c3fdadaea6ed?cid=f9d64942f5f74f3282916225d2f77630,nan,0.197,0.956,-2.908,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,244773,,,,
Gary Moore,Parisienne Walkways,['Solo'],['Distortion Guitar'],Intermediate,3/8,60Kyw7i4M7E2WAlFozsOsR,42,1978,https://open.spotify.com/album/072GbOHxm1ynSabmipURTS,https://p.scdn.co/mp3-preview/67e438e90b93eca988f421a89b6b304bd95aa168?cid=f9d64942f5f74f3282916225d2f77630,nan,0.367,0.149,-18.256,0.0282,0.661,0.0696,0.132,0.233,87.795,200908,,,,
Disturbed,Down With The Sickness,['Dan Donegan'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,40rvBMQizxkIqnjPdEWY1v,75,2000,https://open.spotify.com/album/6IvosVciDOQ9NAPaKwhtLY,https://p.scdn.co/mp3-preview/c478f7cf25b4aa2758438bddc12532365db2f38e?cid=f9d64942f5f74f3282916225d2f77630,nan,0.695,0.876,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,['DavidDraiman'],"['JohnMoyer', 'SteveKmak']",['MikeWengren'],[]
Alice in Chains,Man In The Box,['Jerry Cantrell'],"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8,6gZVQvQZOFpzIy3HblJ20F,75,1990,https://open.spotify.com/album/5LbHbwejgZXRZAgzVAjkhj,https://p.scdn.co/mp3-preview/e8f64bbe777d801968d88d492bf2eca9512eae55?cid=f9d64942f5f74f3282916225d2f77630,nan,0.355,0.791,-7.565,0.0453,0.00045,0.0,0.0969,0.758,106.392,285200,"['LayneStaley(1967-2002)', 'WilliamDuvall']","['MikeStarr(1966-2011)', 'MikeInez']",['SeanKinney'],[]
Avenged Sevenfold,Nightmare,['Lead'],['Distortion Guitar'],Intermediate,3/8,4UEo1b0wWrtHMC8bVqPiH8,71,2010,https://open.spotify.com/album/7vfuTRXIAYJz5Uc8SddnTr,https://p.scdn.co/mp3-preview/b62131be57466d250944fdd30fcf2f4bc812fb7d?cid=f9d64942f5f74f3282916225d2f77630,nan,0.554,0.949,-4.928,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453,['MattShadows'],['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",[]
John Petrucci,Glasgow Kiss,,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8,63sgFYtoXQRAN4tislSaWc,40,2005,https://open.spotify.com/album/46UdW3NK9nvESBtOkFGgGr,https://p.scdn.co/mp3-preview/5fda8746d263e5896c570fd13eea524cb018b3e1?cid=f9d64942f5f74f3282916225d2f77630,nan,0.18,0.949,-4.43,0.101,0.000708,0.89,0.122,0.374,103.723,468787,,,,
Francisco Tarrega,Gran Vals,,"['Acoustic Guitar (nylon)', 'N.Guitar']",Intermediate,3/8,5CxiS0P4Lvtpxr0iGIRXZG,38,2002,https://open.spotify.com/album/7yhZRvfavxIpZtybyGKB96,https://p.scdn.co/mp3-preview/5248bd1f7f5cc83cde69040774fd4df7b97df6da?cid=f9d64942f5f74f3282916225d2f77630,nan,0.491,0.0549,-26.644,0.0665,0.988,0.889,0.0928,0.772,108.972,159507,,,,
