Band,Song,Player,Technique,Difficulty,Score,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,AVAILABLE_MARKETS,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist
Edge Of Sanity,Sacrificed,,"['Distortion Guitar', 'Center Guitar']",Beginner,1/8,1vttN0QRPJB3Uwn2y03yCF,29,1993,https://open.spotify.com/album/0kHZw8Os18EiMGI1K4lM29,https://p.scdn.co/mp3-preview/d9ee67130341410d058e4e231ca8fefdc68e7332?cid=f9d64942f5f74f3282916225d2f77630,nan,0.397,0.991,-9.112,0.0523,3.39e-05,0.493,0.0445,0.402,79.911,230360,,,,
Amon Amarth,Father Of The Wolf,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8,6nA58BRSZAcNHAv9temAGA,43,2013,https://open.spotify.com/album/3cQfALGRSzDeohPsXkF6X3,https://p.scdn.co/mp3-preview/2f45be5ade885c8cd56049b894be250bf9eeb469?cid=f9d64942f5f74f3282916225d2f77630,nan,0.406,0.964,-4.453,0.0476,4.05e-05,0.612,0.0556,0.559,181.982,259680,,,,
Depresszio,Annyi Ev Után,['Sáv 1'],['Distortion Guitar'],Intermediate,3/8,5SfRNC4vGk85e1XJ86V7Mj,5,2000,https://open.spotify.com/album/50jvm3NbrEQpD4ZS4zx6y3,https://p.scdn.co/mp3-preview/fa866f5c4f3ddac342095b02ea63471e9281e355?cid=f9d64942f5f74f3282916225d2f77630,nan,0.408,0.906,-5.216,0.0541,0.000379,2.69e-06,0.324,0.374,145.949,185120,,,,
Sungha Jung,Fight,,['Acoustic Guitar (steel)'],Intermediate,4/8,5zHUGIp5zQhNPfpx5APe9G,15,2021,https://open.spotify.com/album/3yeK2bHkhFc1ROmzJ0xWnz,https://p.scdn.co/mp3-preview/4537aa47b2e8c2279bf8e6e3d49ec9604fbd221c?cid=f9d64942f5f74f3282916225d2f77630,nan,0.537,0.276,-15.776,0.0632,0.538,0.769,0.113,0.397,124.505,160549,,,,
Five Finger Death Punch,Crossing Over,"['ZoltanBathory', 'JasonHook', 'AndyJames']",['Electric Guitar (clean)'],Beginner,1/8,7JggSvMQBhiDpJ3yKAfnN1,43,2009,https://open.spotify.com/album/7gjRHt4PuiDoMZmaojmTAf,https://p.scdn.co/mp3-preview/a79880e386c7e49a9e1a4305fad3ed0525b6d231?cid=f9d64942f5f74f3282916225d2f77630,nan,0.375,0.898,-3.855,0.0642,6.55e-05,8.18e-05,0.28,0.128,195.795,174160,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
Five Finger Death Punch,Burn Mf,"['ZoltanBathory', 'JasonHook', 'AndyJames']","['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8,0XWLi9IG0mYwdcBFtUdhC8,53,2013,https://open.spotify.com/album/1qfm8YhH28Bgs3e8hutsqw,https://p.scdn.co/mp3-preview/61914e5fc632d2f04d92cd3d47f934daff0ef6eb?cid=f9d64942f5f74f3282916225d2f77630,nan,0.503,0.995,-4.829,0.219,0.00016,3.42e-06,0.0459,0.194,180.058,217848,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
Five Finger Death Punch,M.I.N.E,"['ZoltanBathory', 'JasonHook', 'AndyJames']","['Distortion Guitar', 'Electric Guitar']",Beginner,2/8,1aZZjgzJGwJVLXaAj20TWU,51,2013,https://open.spotify.com/album/1qfm8YhH28Bgs3e8hutsqw,https://p.scdn.co/mp3-preview/d9b410353fb046c11ca843ab0bdb079825bbc38b?cid=f9d64942f5f74f3282916225d2f77630,nan,0.523,0.912,-3.816,0.0404,0.0014,0.0,0.109,0.283,132.071,245952,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
Five Finger Death Punch,You,"['ZoltanBathory', 'JasonHook', 'AndyJames']","['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8,6sMOYEbYigMVoIVNyNEIPN,63,2022,https://open.spotify.com/album/2xO5zlCGNyap7Jx1ED3HgG,https://p.scdn.co/mp3-preview/817f6229b54faa0c497045b9f48fc430a4217816?cid=f9d64942f5f74f3282916225d2f77630,nan,0.443,0.976,-4.035,0.0919,2.51e-05,0.0,0.54,0.453,95.011,188842,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
Five Finger Death Punch,Battle Born,"['ZoltanBathory', 'JasonHook', 'AndyJames']","['Distortion Guitar', 'Electric Guitar Distortion']",Beginner,2/8,3nRanAfF9K36yHWV9sIG9D,54,2013,https://open.spotify.com/album/6cNLSrGEjnrEhV5valjcYD,https://p.scdn.co/mp3-preview/e1b763ed02f2706ba5f2d19dd21a7a08fabb4924?cid=f9d64942f5f74f3282916225d2f77630,nan,0.464,0.965,-4.578,0.125,0.000145,0.0,0.243,0.389,148.046,223766,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
Five Finger Death Punch,War Is The Answer,"['ZoltanBathory', 'JasonHook', 'AndyJames']","['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8,53GK1KimbnONpkyckcWkiD,51,2009,https://open.spotify.com/album/7gjRHt4PuiDoMZmaojmTAf,https://p.scdn.co/mp3-preview/3a313a90c4773bccd08a860c14194121c7c07144?cid=f9d64942f5f74f3282916225d2f77630,nan,0.502,0.959,-3.523,0.104,4.37e-05,0.0129,0.12,0.412,184.094,198320,['IvanL.Moody'],['ChrisKael'],"['JeremySpencer', 'CharlieEngen']",[]
